Height,Value
0.0,-0.0026618483072127
796374.9999999992,-1.2325039293869433
1592749.9999999984,-2.463875589211412
2389124.999999998,-3.695247249035852
3185499.9999999967,-4.8646560494594375
3981874.999999997,-6.0111305432951765
4778249.999999996,-7.370427316832047
5574624.999999995,-8.729724090368922
6370999.9999999935,-9.993638059381766
6849001.408059839,-8.566665966660636
6959552.450940657,-8.322640508948025
7065910.456966607,-8.08787057439515
7250305.838635351,-7.680844405855859
7327002.816119684,-7.511546907179491
7418358.057772186,-7.309893407784377
7760820.913933218,-6.553956122648563
7792698.798846211,-6.483590296564151
7805004.224179529,-6.456427847698346
7833641.790019211,-6.393214557893949
7902370.768438172,-6.241505266151796
8129611.677270706,-5.739903785569958
8283005.6322393725,-5.501035418296119
8324600.421400457,-5.471088066815851
8439538.783434665,-5.388334924034526
8457406.09880311,-5.37547084215938
8479885.96953393,-5.359285819862479
8521481.780266728,-5.329337732872595
8885862.822484538,-5.066991237935765
8962844.984293165,-5.0115657410432055
9111768.576201186,-4.904343965418786
9159054.323641444,-4.598523277618295
9409351.91216118,-4.422245618955691
9700428.722226828,-4.21724828409202
9878049.971026665,-4.092154558449936
9923252.61295388,-4.060319589797554
10141453.752804909,-3.90664657090062
10461439.434307894,-3.681289518623412
10672630.19442526,-3.5254816199832857
10685041.761637889,-3.5158033408886658
10687512.00999133,-3.5138770931724785
10704000.49013945,-3.5010197231090574
11241166.710852424,-3.082148800911975
11638211.56769659,-2.8245361704333263
11730630.296738658,-2.794878445513719
11804670.504773611,-2.771118498307658
11886536.41994276,-2.744847234706163
12295421.902283516,-2.613633428970271
12727582.028180594,-2.4749506504044048
12762623.76404688,-2.4637055470168185
12780251.741620447,-2.4580486231964525
13349677.09371461,-2.2753166095699315
13449386.478000209,-2.24331926961842
13488230.604235075,-2.255690892515104
13751646.630091414,-2.167929060325287
14333784.90965489,-1.9739791218724816
14663680.775013443,-1.8640683239945188
14866913.926217075,-1.7963575093113278
15249891.852919478,-1.6911123725554695
15294905.89786259,-1.6749439991894532
15315922.06560113,-1.8164493554117784
15674210.469210591,-1.595681302315283
15719402.759958047,-1.5889603712233442
15910754.13848755,-1.5605028753059376
16222586.356250947,-1.5141276459654915
16530323.734963909,-1.468361395073253
16540415.736792289,-1.466860527386611
17027329.520245258,-1.3944474247937602
17152397.887263384,-1.375847440977778
17427115.449125364,-1.3346984200220875
17702190.75845429,-1.2913679981923494
17773233.581669554,-1.2801771882814088
18083132.412762266,-1.2313612945229
18199241.081626315,-1.213071621006791
18753958.53014704,-1.1256914010250043
18777442.61627789,-1.1219921400451014
19096638.062778965,-1.0717118245316342
19295162.201798864,-1.1449382460638171
19644558.08370249,-1.1107753593356176
19807711.337519296,-1.094822721030008
21076810.5972718,-0.8926922364062068
21500632.81518904,-0.8710644995222907
21633786.430935323,-0.8642696425167876
21726364.712358404,-0.859545353352282
21760852.59740471,-0.857785429327699
21937644.99896065,-0.8602579286684744
22032499.582054235,-0.8329858985872632
23165669.48533439,-0.7502511449224624
23302656.226612043,-0.7402494988655524
23432424.68703745,-0.7307748723548433
23866343.952239137,-0.6990936536664937
23935252.66329816,-0.6940625058939283
24570403.710008945,-0.647688996292724
24972339.809866626,-0.6183429254921703
25450712.9175656,-0.5834160525574275
25484000.0,-0.5809857033596079
