cln1x,Height
0.0,-101370945.01570266
191570.80848194897,-101303979.68924357
251355.3399671731,-101255790.84992501
298065.78494036425,-101209106.28632975
322668.8496030613,-101181330.47560056
383141.61696389795,-101103715.95613082
471509.1992358092,-100966413.13339026
481725.03121526993,-100948711.08807376
502710.6799343462,-100911157.90734524
538334.2152860032,-100843748.3201855
574712.425445847,-100770153.8163643
615557.909137027,-100684025.2464814
655556.0433452473,-100593516.47541136
684915.3827988675,-100523197.91673619
690589.0910244196,-100509229.7375491
789808.2836305643,-100245112.17603296
886073.5886339613,-99952968.22042318
937778.021672623,-99781465.63544242
1004904.1418152817,-99543596.95441231
1219999.999999999,-98665608.15150242
1350597.919575891,-98065192.46959351
1372506.5232084459,-97960639.60879338
1442306.0716021166,-97620203.65635172
1481195.8391517827,-97425680.57571496
1514263.9617843174,-97257549.61381231
1520777.544791542,-97224136.57810459
1525013.0464168927,-97202357.34398448
1536577.205176082,-97142684.25382432
1611793.7587276748,-96747072.46986675
1696810.8637897857,-96280149.3064362
1703862.4329750957,-96240485.87090051
1748268.4575214123,-95987419.89545316
1804837.0694094363,-95656810.18914008
1833471.793320087,-95485941.96069506
1920601.6108530068,-94951490.26434427
1953321.9090197864,-94745134.52486305
1993502.5064370171,-94487466.77735147
2123440.243124188,-93622417.78113583
2130962.964453316,-93570848.67814335
2176706.864933057,-93253728.75452766
2189396.7381112166,-93165516.85212754
2335300.574603327,-92114737.91990665
2573557.514668831,-90254275.63459116
2611137.9099553702,-89944450.78373224
2834698.3690556064,-88009134.58661734
2867003.375686896,-87716421.22903161
3026778.757334414,-86220233.74599104
3045568.9549776837,-86038976.71804449
3479999.999999997,-81537306.55746436
3698667.0795286745,-79177925.68022247
3787231.253405997,-78242447.28745563
3852292.4056349043,-77562613.27434084
3917334.1590573494,-76889237.37895596
4009913.2319797124,-75941555.2664506
4049188.0165941725,-75543348.55052066
4094462.506811997,-75087140.56958194
4136001.2385860253,-74671241.65366472
4185544.0771621126,-74177141.50017436
4190152.306287244,-74131168.36502105
4200208.773712576,-74030833.39645246
4215699.160701382,-73876260.53222704
4330898.862260545,-72725856.99996082
4474000.825724017,-71294685.34451067
4540173.819948247,-70632086.55512229
4667772.038581054,-69353003.28045425
4675104.386856286,-69279444.54545026
4812000.412862007,-67904953.55823645
5149999.999999995,-64502046.29484203
5361212.215752551,-62375267.46959661
5421055.006440537,-61772852.60144305
5423772.803134606,-61745495.301273175
5486844.669995295,-61110657.241246566
5544946.210672354,-60525918.994428806
5572424.431505105,-60249400.1510918
5669901.620384894,-59268592.10042875
5692110.012881082,-59045160.1015803
5716300.400187032,-58801799.312138855
5783636.6472576605,-58124444.339327574
5841698.405316984,-57539299.22673738
5862556.954407879,-57328790.57661527
5873668.80071935,-57216583.58133387
5881706.49671379,-57135391.49982552
5965757.764838439,-56284960.12699221
6039550.285564243,-55536227.81527613
6096278.477203937,-54959303.60214925
6147878.882419215,-54433521.5073332
6329999.9999999935,-52570128.48035041
6344427.693532272,-52422169.928228185
6344429.905917839,-52422147.252757065
6344430.008507235,-52422146.20128452
6344432.1735763885,-52422124.01077917
6358094.466925719,-52282179.009056546
6358096.566171859,-52282157.51985387
6358096.663724632,-52282156.52124249
6358098.695748643,-52282135.72017223
6370999.9999999935,-52150159.10668157
6564640.528645424,-50228128.840483785
6599740.518476784,-49891057.255539715
6667424.583835376,-49250885.79354868
6710224.547167567,-48852742.58591614
6758281.057290854,-48411858.2964871
6822200.765783536,-47835534.33366995
6828481.036953575,-47779530.80965281
6862348.907524131,-47479435.92599812
6951921.585936285,-46701347.47469164
7002830.256276538,-46266765.22614074
7012219.364979375,-46187323.14810745
