X (m),Y (m),Potencial (J/kg),-du/dx (1/m)
-4.5049790363e+06,-4.5049755695e+06,-4.6526375667e+07,9.8163940047e+00
-4.8366232037e+06,-5.4334835254e+06,-3.4966359141e+07,7.5592539077e+00
-3.7447821562e+06,-5.1542455901e+06,-4.6269162620e+07,7.8447838915e+00
-3.8523304373e+06,-6.1073340149e+06,-3.4836563408e+07,5.7142493016e+00
-2.8923763936e+06,-5.6766010779e+06,-4.5591341740e+07,5.8263739047e+00
-5.1542484719e+06,-3.7447781897e+06,-4.6268971353e+07,1.1658852295e+01
-5.6390832542e+06,-4.6624748758e+06,-3.4369523537e+07,9.2697071487e+00
-5.6766033037e+06,-2.8923720252e+06,-4.5592063289e+07,1.3262471970e+01
-6.2785055173e+06,-3.6701230356e+06,-3.3955697855e+07,1.1108850988e+01
-2.7553902691e+06,-6.6279091233e+06,-3.4000976109e+07,3.8770613539e+00
-1.9687508422e+06,-6.0591799050e+06,-4.4745561537e+07,3.8272605606e+00
-1.7058949299e+06,-7.0271063217e+06,-3.1966231094e+07,2.2163524288e+00
-9.9664689177e+05,-6.2925619562e+06,-4.4053000143e+07,1.8833170766e+00
-6.0591814201e+06,-1.9687461793e+06,-4.4745837771e+07,1.4519672132e+01
-6.7182256821e+06,-2.6981403314e+06,-3.3085242142e+07,1.2538744419e+01
-6.2925625112e+06,-9.9664338766e+05,-4.4052960452e+07,1.5328982305e+01
-7.0408275865e+06,-1.6958907095e+06,-3.1802147619e+07,1.3563209961e+01
0.0000000000e+00,-6.3710000000e+06,-4.3786205631e+07,-5.6693904718e-04
-5.6641518787e+05,-7.2251282903e+06,-3.0871615601e+07,7.0642045144e-01
-6.3710000000e+06,0.0000000000e+00,-4.3786275906e+07,1.5603274583e+01
-7.2466021167e+06,-5.6437589619e+05,-3.0569234015e+07,1.4141969343e+01
-6.2925619562e+06,9.9664689177e+05,-4.4052773984e+07,1.5330014562e+01
-7.2170677375e+06,5.2775575632e+05,-3.1012371443e+07,1.4193097779e+01
5.6303512668e+05,-7.2494999940e+06,-3.0529265131e+07,-6.9420155418e-01
9.9664338766e+05,-6.2925625112e+06,-4.4053079017e+07,-1.8834585835e+00
-6.0591799050e+06,1.9687508422e+06,-4.4745534871e+07,1.4522110088e+01
-7.0244010522e+06,1.6933667069e+06,-3.2030614683e+07,1.3588953911e+01
1.9687461793e+06,-6.0591814201e+06,-4.4745654313e+07,-3.8269834021e+00
1.6925456202e+06,-7.0280702628e+06,-3.1982526160e+07,-2.2002300590e+00
-6.6222711335e+06,2.7489847197e+06,-3.4096516927e+07,1.2550406706e+01
-5.6766010779e+06,2.8923763936e+06,-4.5591309404e+07,1.3266286716e+01
2.7534406772e+06,-6.7051402823e+06,-3.3043583088e+07,-3.7474347786e+00
2.8923720252e+06,-5.6766033037e+06,-4.5591355819e+07,-5.8231531421e+00
-5.1542455901e+06,3.7447821562e+06,-4.6269062924e+07,1.1655972423e+01
-6.1090443686e+06,3.8510764898e+06,-3.4825167449e+07,1.0844440290e+01
3.7447781897e+06,-5.1542484719e+06,-4.6269356103e+07,-7.8350255921e+00
3.8115269781e+06,-6.1888218376e+06,-3.4180973045e+07,-5.5164500449e+00
-4.5049755695e+06,4.5049790363e+06,-4.6526260968e+07,9.8094694346e+00
-5.4414454836e+06,4.8482003529e+06,-3.4807760831e+07,8.8848516662e+00
4.6551544293e+06,-5.6674907248e+06,-3.4157479953e+07,-6.9874854787e+00
4.5049755695e+06,-4.5049790363e+06,-4.6526250543e+07,-9.8086815649e+00
-3.7447781897e+06,5.1542484719e+06,-4.6268835270e+07,7.8362484625e+00
-4.6505332397e+06,5.6096154119e+06,-3.4727619637e+07,7.1173465478e+00
5.4124262604e+06,-4.8728664681e+06,-3.4878432996e+07,-8.8331585862e+00
5.1542455901e+06,-3.7447821562e+06,-4.6269199500e+07,-1.1656752003e+01
-2.8923720252e+06,5.6766033037e+06,-4.5591733699e+07,5.8186644441e+00
-3.6892278121e+06,6.2296558886e+06,-3.4396796565e+07,5.3555686755e+00
6.0590459815e+06,-3.8668433943e+06,-3.5276098867e+07,-1.0840997334e+01
5.6766010779e+06,-2.8923763936e+06,-4.5590958905e+07,-1.3268203138e+01
-1.9687461793e+06,6.0591814201e+06,-4.4745643102e+07,3.8260681690e+00
-2.6935286454e+06,6.6991131156e+06,-3.3342133905e+07,3.6976805505e+00
6.6074342969e+06,-2.7437829035e+06,-3.4303010342e+07,-1.2574393820e+01
6.0591799050e+06,-1.9687508422e+06,-4.4745356145e+07,-1.4521240901e+01
-9.9664338766e+05,6.2925625112e+06,-4.4052763008e+07,1.8838513228e+00
-1.6968803289e+06,7.0269605901e+06,-3.1988092220e+07,2.2058608167e+00
7.0154870116e+06,-1.7080231565e+06,-3.2119161542e+07,-1.3582597957e+01
6.2925619562e+06,-9.9664689177e+05,-4.4052716548e+07,-1.5328193828e+01
0.0000000000e+00,6.3710000000e+06,-4.3785797831e+07,8.6639085379e-04
-5.6307187515e+05,7.2379869999e+06,-3.0691945251e+07,6.9871343173e-01
7.2214114835e+06,-5.6926834498e+05,-3.0922256548e+07,-1.4172987005e+01
6.3710000000e+06,0.0000000000e+00,-4.3785764897e+07,-1.5604453739e+01
9.9664689177e+05,6.2925619562e+06,-4.4052373875e+07,-1.8837403259e+00
5.5176371256e+05,7.2140692430e+06,-3.1038815026e+07,-6.8843004354e-01
1.6874929925e+06,6.9529010096e+06,-3.3017979830e+07,-2.2733613331e+00
1.9687508422e+06,6.0591799050e+06,-4.4745294315e+07,-3.8275345460e+00
7.2368232087e+06,5.5052283710e+05,-3.0717107217e+07,-1.4159581300e+01
6.2925625112e+06,9.9664338766e+05,-4.4052735808e+07,-1.5329647332e+01
7.0427050431e+06,1.6814247490e+06,-3.1808312857e+07,-1.3576718852e+01
6.0591814201e+06,1.9687461793e+06,-4.4745638938e+07,-1.4520768586e+01
2.7214476096e+06,6.6021099971e+06,-3.4457029968e+07,-3.8892088503e+00
2.8923763936e+06,5.6766010779e+06,-4.5590898968e+07,-5.8277007041e+00
