cln1x,Height
0,-101370945.01570266
191570.80848194897,-101303979.68924356
251355.3399671731,-101255790.849925
298065.78494036425,-101209106.28632976
322668.8496030613,-101181330.47560056
383141.61696389795,-101103715.95613082
471509.1992358092,-100966413.13339026
481725.03121526993,-100948711.08807376
502710.6799343462,-100911157.90734524
538334.2152860032,-100843748.3201855
574712.425445847,-100770153.8163643
615557.909137027,-100684025.2464814
655556.0433452473,-100593516.47541136
684915.3827988675,-100523197.9167362
690589.0910244196,-100509229.7375491
789808.2836305643,-100245112.17603296
886073.5886339613,-99952968.22042318
937778.021672623,-99781465.63544242
1004904.1418152817,-99543596.95441233
1219999.999999999,-98665608.15150242
1350597.919575891,-98065192.46959352
1372506.5232084459,-97960639.60879338
1442306.0716021166,-97620203.65635172
1481195.8391517827,-97425680.57571496
1514263.9617843174,-97257549.61381233
...,
12742000,-19581924.37722672
